,PatentNumber,PatentAsignee
25611,WO2004110392-A2,BLATT L M (BLAT-Individual)
25612,WO2004110392-A2,INTERMUNE INC (HOFF-C)
25613,WO2004110392-A2,THREE RIVERS PHARM LLC (THRE-Non-standard)
25614,WO2004082640-A2,NEW CENTURY PHARM INC (NEWC-Non-standard)
25615,WO2004082640-A2,CARTER D (CART-Individual)
25616,WO2004082640-A2,MCKENZIE S R (MCKE-Individual)
25617,WO2004082640-A2,RUKER F (RUKE-Individual)
25618,WO2004082640-A2,CARTER D C (CART-Individual)
25619,WO2004082640-A2,MCKENZIE S R (MCKE-Individual)
25620,WO2004082640-A2,RUKER F (RUKE-Individual)
25621,WO2004083430-A2,SANTARIS PHARMA AS (SANT-Non-standard)
25622,WO2004083430-A2,SANTARIS PHARMA AS (SANT-Non-standard)
25623,WO2004083430-A2,SANTARIS PHARMA AS (SANT-Non-standard)
25624,WO2004083430-A2,SANTARIS PHARMA AS (SANT-Non-standard)
25625,WO2004083430-A2,SANTARIS PHARMA AS (SANT-Non-standard)
25626,WO2004083430-A2,ROCHE INNOVATION CENT COPENHAGEN AS (SNTP-C)
25627,WO2004083430-A2,ROCHE INNOVATION CENT COPENHAGEN AS (SNTP-C)
25628,CN1532207-A,INST POISONOUS MEDICINE ACAD MILITARY ME (JSYX-C)
25629,CN1532206-A,INST POISONOUS MEDICINE ACAD MILITARY ME (JSYX-C)
25630,US2004180380-A1,ENGENEOS INC (ENGE-Non-standard)
25631,US2004180380-A1,EPITOME BIOSYSTEMS INC (EPIT-Non-standard)
25632,US2004180380-A1,EPITOME BIOSYSTEMS INC (EPIT-Non-standard)
25633,US2004180380-A1,EPITOME BIOSYSTEMS INC (EPIT-Non-standard)
25634,US2004180380-A1,EPITOME BIOSYSTEMS INC (EPIT-Non-standard)
25635,CN1528349-A,BAI L (BAIL-Individual)
25636,CN1528915-A,HUADA GENE RES & DEV CENT HANGZHOU (HUAD-Non-standard)
25637,CN1528228-A,XU Z (XUZZ-Individual)
25638,US2004176988-A1,INT BUSINESS MACHINES CORP (IBMC-C)
25639,US2004176988-A1,INT BUSINESS MACHINES CORP (IBMC-C)
25640,WO2004074435-A2,UNIV EMORY (UEMR-C)
25641,WO2004074435-A2,PULENDRAN B (PULE-Individual)
25642,WO2004074435-A2,AGRAWAL S (AGRA-Individual)
25643,WO2004074435-A2,DILLON S M (DILL-Individual)
25644,WO2004074247-A2,ENDACEA INC (ENDA-Non-standard)
25645,WO2004074247-A2,WILSON C N (WILS-Individual)
25646,WO2004074247-A2,PARTRIDGE J J (PART-Individual)
25647,WO2004074247-A2,ENDACEA INC (ENDA-Non-standard)
25648,WO2004076677-A2,INST RES IN BIOMEDICINE (REIN-Non-standard)
25649,WO2004076677-A2,LANZAVECCHIA A (LANZ-Individual)
25650,WO2004076677-A2,INST RES IN BIOMEDICINE (REIN-Non-standard)
25651,WO2004076677-A2,INST RES IN BIOMEDICINE (REIN-Non-standard)
25652,WO2004076677-A2,INST RES IN BIOMEDICINE (REIN-Non-standard)
25653,WO2004076677-A2,HUMABS LLC (HUMA-Non-standard)
25654,CN1524453-A,REN Z (RENZ-Individual)
25655,CN1524558-A,SHANG S (SHAN-Individual)
25656,CN1522749-A,ZHAO Y (ZHAO-Individual)
25657,RU2234313-C1,KRIVOSHEIN YU S (KRIV-Individual)
25658,RU2234313-C1,RUDKO A P (RUDK-Individual)
25659,RU2234313-C1,KRIVOSHEIN Y S (KRIV-Individual)
25660,RU2234313-C1,MEGAINPHARM GMBH (MEGA-Non-standard)
25661,RU2234313-C1,MEGAINPHARM GMBH (MEGA-Non-standard)
25662,RU2234313-C1,MEGAINPHARM GMBH (MEGA-Non-standard)
25663,CN1519257-A,WEIWU GUANGMING BIOLOGICAL PROD CO LTD S (WEIW-Non-standard)
25664,WO2004064759-A2,CHIRON CORP (CHIR-C)
25665,WO2004064759-A2,CHIRON CORP (CHIR-C)
25666,WO2004064759-A2,NOVARTIS VACCINES&DIAGNOSTICS INC (NOVS-C)
25667,WO2004064759-A2,NOVARTIS VACCINES&DIAGNOSTICS INC (NOVS-C)
25668,WO2004064759-A2,NOVARTIS VACCINES&DIAGNOSTICS INC (NOVS-C)
25669,WO2004064759-A2,NOVARTIS VACCINES & DIAGNOSTICS INC (NOVS-C)
25670,WO2004062603-A2,ARIZEKE PHARM INC (ARIZ-Non-standard)
25671,WO2004062603-A2,ARIZEKE PHARM INC (ARIZ-Non-standard)
25672,CN1515226-A,UNIV SHANGHAI JIAOTONG (USJT-C)
25673,CN1513392-A,GUAN T (GUAN-Individual)
25674,CN1514164-A,SHANGHAI HAIXING VALVE GEN FACTORY (SHAN-Non-standard)
25675,CN1513874-A,VIRAL DISEASE PREVENTION & CONTROL INST (CCDC-C)
25676,CN1513874-A,VIRAL DISEASE PREVENTION & CONTROL INST CHINA DISEASE PREVEN (CCDC-C)
25677,CN1514010-A,ZHENAO GROUP CO LTD (ZHEN-Non-standard)
25678,CN1513548-A,UNIV CHINA PHARM (UYCP-C)
25679,CN1513501-A,YANG Z (YANG-Individual)
25680,CN1513552-A,YU G (YUGG-Individual)
25681,CN1513529-A,YU Q (YUQQ-Individual)
25682,WO2004058797-A2,MEDAREX INC (BRIM-C)
25683,WO2004058797-A2,GENMAB AS (GNMB-C)
25684,WO2004058797-A2,MEDAREX INC (BRIM-C)
25685,WO2004058797-A2,GENMAB AS (GNMB-C)
25686,WO2004058797-A2,GENMAB AS (GNMB-C)
25687,WO2004058797-A2,CORMORANT PHARM AB (BRIM-C)
25688,WO2004058797-A2,CORMORANT PHARM AB (BRIM-C)
25689,WO2004058797-A2,BAADSGAARD D M O (BAAD-Individual)
25690,WO2004058797-A2,HUDSON D (HUDS-Individual)
25691,WO2004058797-A2,PARREN P (PARR-Individual)
25692,WO2004058797-A2,PETERSEN J (PETE-Individual)
25693,WO2004058797-A2,TEELING J (TEEL-Individual)
25694,WO2004058797-A2,CORMORANT PHARM AB (BRIM-C)
25695,WO2004056979-A2,CRUCELL HOLLAND BV (CRUL-C)
25696,WO2004056979-A2,CRUCELL HOLLAND BV (CRUL-C)
25697,WO2004056979-A2,CRUCELL HOLLAND BV (CRUL-C)
25698,WO2004056979-A2,CRUCELL HOLLAND BV (CRUL-C)
25699,CN1502367-A,GUANGZHOU RESPIRATORY DISEASE INST (UNGM-C)
25700,CN1502367-A,UNIV FUDAN (UYFU-C)
25701,EP1424101-A2,NOZAKI M (NOZA-Individual)
25702,EP1424101-A2,NOZAKI M (NOZA-Individual)
25703,EP1424101-A2,NOZAKI M (NOZA-Individual)
25704,EP1424101-A2,NOZAKI M (NOZA-Individual)
25705,EP1424101-A2,INFLAMMATION RES CENT CO LTD (INFL-Non-standard)
25706,EP1424101-A2,INFLAMMATION RES CENT CO LTD (INFL-Non-standard)
25707,CN1498895-A,HUAPU BIOTECHNOLOGY CO LTD CHANGCHUN (HUAP-Non-standard)
25708,CN1498895-A,HUAPU BIOTECHNOLOGY CO LTD (HUAP-Non-standard)
25709,TW588649-U1,IND TECHNOLOGY RES INST (ITRI-C)
25710,US6738758-B1,CISCO TECHNOLOGY INC (CISC-C)
25711,CN1493702-A,UNIV RUIJIN HOSPITAL ATTACHED TO SHANGHA (USJT-C)
25712,TW200406194-A,LIN Z (LINZ-Individual)
25713,WO2004035032-A2,NEOPHARM INC (NEOP-Non-standard)
25714,WO2004035032-A2,NEOPHARM INC (NEOP-Non-standard)
25715,CN1491589-A,HUANG W (HUAN-Individual)
25716,US2004071757-A1,ROLF D (ROLF-Individual)
25717,US2004071757-A1,LECTEC CORP (LECT-Non-standard)
25718,CN1488641-A,CHINESE ACAD SCI MICROBIOLOGICAL INST (CWSW-C)
25719,CN1488641-A,INST MICROBIOLOGY CHINESE ACAD SCI (CWSW-C)
25720,CN1488641-A,UNIV WUHAN (UYWU-C)
25721,CN1488641-A,INST MICROBIOLOGY CHINESE ACAD SCI (CWSW-C)
25722,CN1488641-A,UNIV WUHAN (UYWU-C)
25723,CN1488641-A,MICROORGANISM INST CHINESE ACAD SCI (CWSW-C)
25724,CN1488645-A,HEPATOPATHY INST AIR FORCE GUANGZHOU HOS (HEPA-Non-standard)
25725,CN1488646-A,LI Y (LIYY-Individual)
25726,CN1488634-A,INST MICROBIOLOGY&EPIDEMIOLOGY ACAD MILITARY MEDICAL SCI C (MICR-Non-standard)
25727,CN1488634-A,UNIV NORTHEAST NORMAL (UYNE-Non-standard)
25728,CN1488634-A,UNIV DONGBEI NORMAL (UYDO-Non-standard)
25729,CN1488303-A,UNIV TIANJIN (UTIJ-C)
25730,CN1488380-A,KANGYUAN PHARM CO LTD JIANGSU (JSKY-C)
25731,CN1488380-A,JIANGSU KANGYUAN PHARM CO LTD (JSKY-C)
25732,CN1488378-A,YANG Q (YANG-Individual)
25733,CN1488302-A,UNIV TIANJIN (UTIJ-C)
25734,CN1488411-A,UNIV TIANJIN (UTIJ-C)
25735,CN1488401-A,ZHANG X (ZHAN-Individual)
25736,CN1486699-A,JIANGSU PROV INST TRADITIONAL CHINESE ME (JIAN-Non-standard)
25737,CN1486741-A,LAIYANG AGRIC COLLEGE (LAIY-Non-standard)
25738,CN1487077-A,LAIYANG AGRIC COLLEGE (LAIY-Non-standard)
25739,CN1486747-A,NANJING QINGHAI MICROWAVE ELECTRONICS IN (NANJ-Non-standard)
25740,WO2004026255-A2,LA JOLLA BIOSCIENCES (JOLL-Non-standard)
25741,WO2004026255-A2,UNIV JOHNS HOPKINS SCHOOL MEDICINE (UYJO-C)
25742,WO2004026255-A2,LA JOLLA BIOSCIENCES (JOLL-Non-standard)
25743,WO2004026255-A2,SCHEELE G A (SCHE-Individual)
25744,WO2004026255-A2,HILDRETH J E (HILD-Individual)
25745,WO2004026255-A2,UNIV JOHNS HOPKINS SCHOOL MEDICINE (UYJO-C)
25746,WO2004026255-A2,UNIV JOHNS HOPKINS (UYJO-C)
25747,WO2004026255-A2,LA JOLLA BIOSCIENCES LLC (JOLL-Non-standard)
25748,WO2004026255-A2,UNIV JOHNS HOPKINS (UYJO-C)
25749,WO2004026255-A2,LA JOLLA BIOSCIENCES LLC (JOLL-Non-standard)
25750,CN1483818-A,UNIV SHANGHAI (USHN-C)
25751,CN1483836-A,UNIV SHANGHAI (USHN-C)
25752,CN1483737-A,HANGZHOU HUADA GENE RES & DEV CENT (BGIG-C)
25753,CN1483463-A,HEBEI YILING PHARM RES INST CO LTD (HEBE-Non-standard)
25754,CN1481864-A,LU Y (LUYY-Individual)
25755,CN1481767-A,UNIV NORTHEAST NORMAL (UYNO-C)
25756,CN1481886-A,XU X (XUXX-Individual)
25757,CN1482461-A,UNIV WUHAN (UYWU-C)
25758,WO2004019970-A2,LEUVEN RES&DEV (UYLN-C)
25759,WO2004019970-A2,LEUVEN RES&DEV (UYLN-C)
25760,WO2004019970-A2,LEUVEN RES&DEV (UYLN-C)
25761,WO2004019970-A2,BALZARINI J (BALZ-Individual)
25762,WO2004019970-A2,PREOBRAZHENSKAYA M (PREO-Individual)
25763,WO2004019970-A2,DE CLERCQ E (DCLE-Individual)
25764,WO2004019970-A2,CHIRON CORP (CHIR-C)
25765,WO2004019970-A2,CHIRON CORP (CHIR-C)
25766,WO2004019970-A2,LEUVEN RES&DEV (UYLN-C)
25767,WO2004019970-A2,LEUVEN RES & DEV (UYLN-C)
25768,CN1480213-A,CENTURY ZHAOBAO RES CENT TRANSFER FACTOR (CENT-Non-standard)
25769,CN1480149-A,LI G (LIGG-Individual)
25770,CN1480177-A,HAILIAN CHINESE HERBAL MEDICINE RES INST (HAIL-Non-standard)
25771,CN1480048-A,YIWANJIA FOODS CO LTD GUANGDONG (YIWA-Non-standard)
25772,CN1480728-A,UNIV TIANJIN (UTIJ-C)
25773,CN1480215-A,YE X (YEXX-Individual)
25774,CN1480134-A,ZENG X (ZENG-Individual)
25775,CN1480221-A,RES INST BIOMEDICAL ENG CHINESE ACAD (REBI-Non-standard)
25776,WO2004017940-A2,NEOPHARM INC (NEOP-Non-standard)
25777,WO2004017940-A2,NEOPHARM INC (NEOP-Non-standard)
25778,WO2004018998-A2,UNIV MARYLAND BALTIMORE (UMBA-C)
25779,WO2004018998-A2,UNIV MARYLAND BALTIMORE (UMBA-C)
25780,WO2004018998-A2,UNIV MARYLAND (UMBA-C)
25781,CN1478545-A,INST MICROBIOLOGY CHINESE ACAD SCI (CWSW-C)
25782,DE20315159-U1,ARTUS GES MOLEKULARBIOLOGISCHE DIAGNOSTI (ARTU-Non-standard)
25783,DE20315159-U1,LAUE T (LAUE-Individual)
25784,DE20315159-U1,QIAGEN DIAGNOSTICS GMBH (QIAG-C)
25785,CN1476886-A,CHEN D (CHEN-Individual)
25786,CN1476941-A,LI H (LIHH-Individual)
25787,CN1476836-A,SHANGHAI INST MATERIA MEDICA CAS (CAMM-C)
25788,CN1476894-A,YU G (YUGG-Individual)
25789,CN1475571-A,INST MICROBIOLOGY CHINESE ACEDEMY SCI (CWSW-C)
25790,CN1475571-A,INST MICROBIOLOGY CHINESE ACAD SCI (CWSW-C)
25791,WO2004012653-A2,EPIGENESIS PHARM INC (EPIG-Non-standard)
25792,WO2004012653-A2,EPIGENESIS PHARM INC (EPIG-Non-standard)
25793,WO2004012653-A2,EPIGENESIS PHARM LLC (EPIG-Non-standard)
25794,WO2004012653-A2,EPIGENESIS PHARM LLP (EPIG-Non-standard)
25795,WO2004012653-A2,EPIGENESIS PHARM LLC (EPIG-Non-standard)
25796,CN1471970-A,QUANGANG MEDICINE CO LTD SHANDONG PROV (QUAN-Non-standard)
25797,CN1471914-A,HU S (HUSS-Individual)
25798,CN1472332-A,SHANGHAI INST MATERIA MEDICA CAS (CAMM-C)
25799,CN1472321-A,LI Y (LIYY-Individual)
25800,CN1471981-A,HENGCHANG ELECTRONIC SHENZHEN CO LTD (HENG-Non-standard)
25801,CN1472336-A,SHANGHAI INST MATERIA MEDICA CAS (CAMM-C)
25802,CN1472336-A,SHANGHAI LEAD DISCOVERY PHARM LTD CO (SHAN-Non-standard)
25803,CN1472336-A,CAS SHANGHAI INST OPTICS & FINE MECHANIC (CAOF-C)
25804,CN1472336-A,SHANGHAI LEAD DISCOVERY PHARM LTD CO (SHAN-Non-standard)
25805,CN1472336-A,SHANGHAI INST MATERIA MEDICA CAS (CAMM-C)
25806,CN1472318-A,SHANGHAI INST MATERIA MEDICA CAS (CAMM-C)
25807,CN1470269-A,CHEN C (CHEN-Individual)
25808,CN1470270-A,WANJIAN SCI TECHNOLOGY DEV CO LTD GUANGZ (WANJ-Non-standard)
25809,CN1470282-A,LI J (LIJJ-Individual)
25810,CN1470242-A,LIU Y (LIUY-Individual)
25811,CN1470242-A,LIU Y (LIUY-Individual)
25812,CN1470284-A,UNIV JINAN (UNIV-Non-standard)
25813,CN1468965-A,UNIV ZHEJIANG FIRST AFFILIATED HOSPITAL (UYZH-C)
25814,CN1468965-A,NO 1 HOSPITAL ZHONGSHAN MEDICAL UNIV (UYSY-C)
25815,CN1468865-A,HANGZHOU HUADA GENE RES & DEV CENT (BGIG-C)
25816,CN1468962-A,SHANGHAI INST MATERIA MEDICA CAS (CAMM-C)
25817,CN1468961-A,SHANGHAI INST MATERIA MEDICA CAS (CAMM-C)
25818,CN1468602-A,UNIV SUN YAT SEN (UYSY-C)
25819,CN1469126-A,HANGZHOU HUADA GENE RES & DEV CENT (BGIG-C)
25820,CN1468644-A,INST SANITARY EQUIP PLA ACAD MILITARY ME (JSYX-C)
25821,CN1468959-A,UNIV FUDAN (UYFU-C)
25822,CN1468955-A,INST MICROBIAL EPIDEMIOLOGY PLA (JSYX-C)
25823,CN1468955-A,MICROBE EPIDEMIC DISEASE INST PLA MILITA (JSYX-C)
25824,WO2004004658-A2,POINT THERAPEUTICS INC (POIN-Non-standard)
25825,WO2004004658-A2,POINT THERAPEUTICS INC (POIN-Non-standard)
25826,WO2004004658-A2,POINT THERAPEUTICS INC (POIN-Non-standard)
25827,WO2004004658-A2,DIGITAL THEATER SYSTEMS INC (DIGI-Non-standard)
25828,WO2004004773-A1,ONO PHARM CO LTD (ONOY-C)
25829,WO2004004773-A1,ONO PHARM CO LTD (ONOY-C)
25830,US2004009245-A1,VAIL W B (VAIL-Individual)
25831,US2004009245-A1,VAIL M L (VAIL-Individual)
25832,US2004009245-A1,INHALATION INC (INHA-Non-standard)
25833,CN1466987-A,DONG S (DONG-Individual)
25834,CN1466996-A,XU Y (XUYY-Individual)
25835,US6677885-B1,RAYTHEON CO (RAYT-C)
25836,WO2004002415-A2,DANA FARBER CANCER INST INC (DAND-C)
25837,WO2004002415-A2,DANA FARBER CANCER INST INC (DAND-C)
25838,WO2004002415-A2,DANA FARBER CANCER INST INC (DAND-C)
25839,WO2004002415-A2,RUPRECHT R M (RUPR-Individual)
25840,WO2004002415-A2,JIANG S (JIAN-Individual)
25841,US2004005998-A1,ONCOVIR INC (ONCO-Non-standard)
25842,US2004005998-A1,SALAZAR A (SALA-Individual)
25843,US2004005998-A1,SALAZAR A (SALA-Individual)
25844,US2004005998-A1,ONCOVIR INC (ONCO-Non-standard)
25845,US2004005998-A1,ONCOVIR INC (ONCO-Non-standard)
25846,US2004005998-A1,SALAZAR A (SALA-Individual)
25847,US2004005998-A1,SALAZAR A (SALA-Individual)
25848,US2004005252-A1,SIESS H E (SIES-Individual)
25849,CN1465589-A,INST HEMATOLOGY CHINESE ACAD MEDICAL SCI (MSUM-C)
25850,CN1465584-A,UNIV BEIJING JIAOTONG (UBJI-C)
25851,CN1463761-A,SHANXI ONCOLOGIC HOSPITAL (SHAN-Non-standard)
25852,WO2003106498-A2,CRUCELL HOLLAND BV (CRUL-C)
25853,WO2003106498-A2,CRUCELL HOLLAND BV (CRUL-C)
25854,WO2003106498-A2,CRUCELL HOLLAND BV (CRUL-C)
25855,WO2003106498-A2,BAKKER A B H (BAKK-Individual)
25856,WO2003106498-A2,CRUCELL HOLLAND BV (CRUL-C)
25857,WO2003105775-A2,EPIGENESIS PHARM INC (EPIG-Non-standard)
25858,WO2003105775-A2,LEONARD S A (LEON-Individual)
25859,WO2003105775-A2,JOHNSON K A (JOHN-Individual)
25860,WO2003105775-A2,EPIGENESIS PHARM INC (EPIG-Non-standard)
25861,WO2003105775-A2,EPIGENESIS PHARM LLC (EPIG-Non-standard)
25862,WO2003105775-A2,EPIGENESIS PHARM LLP (EPIG-Non-standard)
25863,WO2003105775-A2,EPIGENESIS PHARM LLC (EPIG-Non-standard)
25864,CN1462774-A,UNIV WUHAN (UYWU-C)
25865,CN1462627-A,SHI H (SHIH-Individual)
25866,CN1462642-A,WANG G (WANG-Individual)
25867,CN1462581-A,FU YUAN FOOD ENTERPRISE GROUP CO LTD SHA (FUYU-Non-standard)
25868,CN1462616-A,XU L (XULL-Individual)
25869,CN1462635-A,YU G (YUGG-Individual)
25870,WO2003103675-A2,ENDACEA INC (ENDA-Non-standard)
25871,WO2003103675-A2,ENDACEA INC (ENDA-Non-standard)
25872,WO2003101484-A1,SIMPSON L (SIMP-Individual)
25873,WO2003101484-A1,MAKSYMOWYCH A (MAKS-Individual)
25874,WO2003101484-A1,PARK J (PARK-Individual)
25875,WO2003101484-A1,UNIV JEFFERSON THOMAS (UTJF-C)
25876,WO2003101484-A1,SIMPSON L (SIMP-Individual)
25877,WO2003101484-A1,MAKSYMOWYCH A (MAKS-Individual)
25878,WO2003101484-A1,PARK J (PARK-Individual)
25879,WO2003101484-A1,UNIV JEFFERSON THOMAS (UTJF-C)
25880,WO2003101484-A1,UNIV JEFFERSON THOMAS (UTJF-C)
25881,WO2003101484-A1,UNIV JEFFERSON THOMAS (UTJF-C)
25882,CN1460514-A,NO 302 HOSPITAL PLA (THRE-Non-standard)
25883,CN1460520-A,XINJIANG BAOLIDA SCI IND & TRADE CO LTD (XINJ-Non-standard)
25884,CN1460855-A,INST BIOPHYSICS CHINESE ACAD SCI (CABP-C)
25885,CN1460474-A,INST MEDICINAL BIOTECHNOLOGY CHINESE ACA (MSUM-C)
25886,CN1460464-A,CHANGCHUN CHANGSHENG GENE ENG TECHNOLOGY (CHAN-Non-standard)
25887,CN1460459-A,YANG L (YANG-Individual)
25888,US2003224017-A1,SAMAL S K (SAMA-Individual)
25889,US2003224017-A1,HUANG Z (HUAN-Individual)
25890,CN1457870-A,FANG W (FANG-Individual)
25891,CN1457876-A,UNIV BEIJING CHINESE MEDICINE (UYBE-Non-standard)
25892,CN1457777-A,POISON MEDICINE INST MILITARY MEDICAL SC (POIS-Non-standard)
25893,CN1457836-A,LING Y (LING-Individual)
25894,CN1458171-A,LIU C (LIUC-Individual)
25895,CN1457850-A,MENG S (MENG-Individual)
25896,CN1457839-A,SHI J (SHIJ-Individual)
25897,CN1458281-A,HUANQIU ZHONGJIA BIOLOGICAL SCI & TECHNO (HUAN-Non-standard)
25898,CN1457896-A,ZHANG F (ZHAN-Individual)
25899,CN1457645-A,ZOU Y (ZOUY-Individual)
25900,CN1457890-A,ZHOU M (ZHOU-Individual)
25901,CN1456308-A,DING X (DING-Individual)
25902,CN1456346-A,ZHANG J (ZHAN-Individual)
25903,WO2003092654-A1,HARVARD COLLEGE (HARD-C)
25904,WO2003092654-A1,HARVARD COLLEGE (HARD-C)
25905,WO2003092654-A1,EDWARDS D A (EDWA-Individual)
25906,WO2003092654-A1,STONE H A (STON-Individual)
25907,WO2003092654-A1,HARVARD COLLEGE (HARD-C)
25908,WO2003092654-A1,HARVARD COLLEGE (HARD-C)
25909,CN1454665-A,DING R (DING-Individual)
25910,CN1454666-A,WEIWEI PHARM CO LTD JILIN (WEIW-Non-standard)
25911,CN1454485-A,HE Y (HEYY-Individual)
25912,CN1454996-A,UNIV NO 2 MILITARY MEDICAL PLA (UYTW-Non-standard)
25913,CN1455003-A,WANG H (WANG-Individual)
25914,CN1454593-A,UNIV NO 2 MILITARY MEDICAL PLA (UYTW-Non-standard)
25915,CN1454593-A,UNIV SECOND MILITARY MEDICAL PLA (UYSE-Non-standard)
25916,CN1454603-A,ZENG J (ZENG-Individual)
25917,CN1454576-A,ZHAO X (ZHAO-Individual)
25918,CN1454592-A,SHANGHAI INST MATERIA MEDICA CAS (CAMM-C)
25919,WO2003095491-A2,AFFITECH AS (AFFI-Non-standard)
25920,WO2003095491-A2,OWEN D J (OWEN-Individual)
25921,WO2003095491-A2,BREKKE O H (BREK-Individual)
25922,WO2003095491-A2,STACY J (STAC-Individual)
25923,WO2003095491-A2,KAUSMALLY L (KAUS-Individual)
25924,WO2003095491-A2,AFFITECH AS (AFFI-Non-standard)
25925,WO2003095491-A2,AFFITECH AS (AFFI-Non-standard)
25926,WO2003095491-A2,AFFITECH AS (AFFI-Non-standard)
25927,WO2003094902-A2,LIN Z (LINZ-Individual)
25928,WO2003094902-A2,LIN Z (LINZ-Individual)
25929,WO2003094902-A2,ZHEN-MAN L (ZHEN-Individual)
25930,WO2003094902-A2,ZHEM-MAN L (ZHEM-Individual)
25931,WO2003094902-A2,LIN Z M (LINZ-Individual)
25932,WO2003094849-A2,NEW CENTURY PHARM INC (NEWC-Non-standard)
25933,WO2003094849-A2,CARTER D C (CART-Individual)
25934,WO2003094849-A2,LI C Q (LICQ-Individual)
25935,WO2003094849-A2,NEW CENTURY PHARM INC (NEWC-Non-standard)
25936,WO2003094849-A2,NEW CENTURY PHARM INC (NEWC-Non-standard)
25937,WO2003094849-A2,NEW CENTURY PHARM INC (NEWC-Non-standard)
25938,WO2003094849-A2,NEW CENTURY PHARM INC (NEWC-Non-standard)
25939,CN1452867-A,SHANGHAI ORGANIC CHEM INST (SHRG-C)
25940,CN1453515-A,UNIV NANJING (UNAJ-C)
25941,CN1453368-A,WANG H (WANG-Individual)
25942,CN1453588-A,GUANGZHOU WANFU BIOTECHNOLOGY CO LTD (GUAN-Non-standard)
25943,CN1453589-A,GUANGZHOU WANFU BIOTECHNOLOGY CO LTD (GUAN-Non-standard)
25944,CN1453590-A,GUANGZHOU WANFU BIOTECHNOLOGY CO LTD (GUAN-Non-standard)
25945,CN1452967-A,GUANGZHOU JINAN BIOMEDICINE RES & DEV BA (GUAN-Non-standard)
25946,CN1452978-A,GUANGZHOU JINAN BIOMEDICINE RES & DEV BA (GUAN-Non-standard)
25947,CN1453030-A,ZHAO Y (ZHAO-Individual)
25948,CN1452982-A,SHANGHAI XINGKANG PHARM RES & DEV CO LTD (SHAN-Non-standard)
25949,US2003203887-A1,MCW RES FOUND INC (MCWR-Non-standard)
25950,CN1451388-A,CAI H (CAIH-Individual)
25951,CN1451423-A,GU K (GUKK-Individual)
25952,CN1451434-A,LOU S (LOUS-Individual)
25953,CN1451451-A,WANG J (WANG-Individual)
25954,CN1451734-A,XING L (XING-Individual)
25955,CN1451918-A,UNIV TIANJIN (UTIJ-C)
25956,CN1451440-A,ZHOU G (ZHOU-Individual)
25957,SG99419-A1,LIN Z M (LINZ-Individual)
25958,WO2003087335-A2,MEDIMMUNE VACCINES INC (ASTR-C)
25959,WO2003087335-A2,MEDIMMUNE VACCINES INC (ASTR-C)
25960,WO2003087335-A2,MEDIMMUNE VACCINES INC (ASTR-C)
25961,WO2003087335-A2,MEDIMMUNE VACCINES INC (ASTR-C)
25962,WO2003087335-A2,MEDIMMUNE VACCINES INC (ASTR-C)
25963,WO2003087335-A2,MEDIMMUNE LLC (ASTR-C)
25964,WO2003087335-A2,MEDIMMUNE LLC (ASTR-C)
25965,WO2003087335-A2,MEDIMMUNE LLC (ASTR-C)
25966,WO2003087335-A2,MEDIMMUNE VACCINES INC (ASTR-C)
25967,WO2003087335-A2,MEDIMMUNE LLC (ASTR-C)
25968,WO2003087339-A2,MEDIMMUNE VACCINES INC (ASTR-C)
25969,WO2003087339-A2,MEDIMMUNE VACCINES INC (ASTR-C)
25970,WO2003087339-A2,UNIV COLORADO (COLS-C)
25971,WO2003087339-A2,MEDIMMUNE VACCINES INC (ASTR-C)
25972,WO2003087339-A2,MEDIMMUNE LLC (ASTR-C)
25973,WO2003087339-A2,UNIV COLORADO (COLS-C)
25974,WO2003086443-A1,MEDIMMUNE VACCINES INC (ASTR-C)
25975,WO2003086443-A1,MEDIMMUNE VACCINES INC (ASTR-C)
25976,WO2003086443-A1,UNIV COLORADO (COLS-C)
25977,WO2003086443-A1,MEDIMMUNE VACCINES INC (ASTR-C)
25978,WO2003086443-A1,MEDIMMUNE LLC (ASTR-C)
25979,WO2003087327-A2,MEDIMMUNE VACCINES INC (ASTR-C)
25980,WO2003087327-A2,MEDIMMUNE VACCINES INC (ASTR-C)
25981,WO2003087327-A2,MEDIMMUNE VACCINES INC (ASTR-C)
25982,WO2003087327-A2,MEDIMMUNE VACCINES INC (ASTR-C)
25983,WO2003087327-A2,MEDIMMUNE LLC (ASTR-C)
25984,WO2003087327-A2,MEDIMMUNE LLC (ASTR-C)
25985,WO2003087327-A2,MEDIMMUNE LLC (ASTR-C)
25986,WO2003087327-A2,MEDIMMUNE LLC (ASTR-C)
25987,WO2003087327-A2,MEDIMMUNE LLC (ASTR-C)
25988,CN1449740-A,CHANGCHUN CHANGSHENG GENE PHARM IND CO L (CHAN-Non-standard)
25989,CN1449823-A,GUANGDONG TIANPU BIOCHEMICAL MEDICINE CO (GUAN-Non-standard)
25990,CN1449823-A,GUANGDONG TECHPOOL BIOCHEM PHARMA CO LTD (GUAN-Non-standard)
25991,CN1449823-A,GUANGDONG TECHPOOL BIOCHEM PHARMA CO LTD (GUAN-Non-standard)
25992,CN1449823-A,GUANGDONG TECHPOOL BIOCHEM PHARMA CO LTD (GUAN-Non-standard)
25993,CN1449818-A,HU X (HUXX-Individual)
25994,CN1449818-A,HU X Y (HUXY-Individual)
25995,CN1449818-A,WANG X (WANG-Individual)
25996,CN1449818-A,XUE J (XUEJ-Individual)
25997,CN1449818-A,HU X Y (HUXY-Individual)
