,PatentNumber,nationality
31516,NL6916882-A,CA
31517,SU390833-A,SU
31518,NL7308653-A,NL
31519,NL7308653-A,BE
31520,NL7308653-A,DE
31521,NL7308653-A,FR
31522,NL7308653-A,ZA
31523,NL7308653-A,JP
31524,NL7308653-A,DD
31525,NL7308653-A,CH
31526,NL7308653-A,GB
31527,NL7308653-A,US
31528,NL7308653-A,CA
31529,NL7308653-A,IL
31530,NL7308653-A,DE
31531,NL7308653-A,JP
31532,NL7308653-A,NL
31533,SU393086-A,SU
31534,JP48102613-A,JP
31535,JP48102613-A,JP
31536,SU382630-A,SU
31537,SU392180-A,SU
31538,SU375122-A,SU
31539,JP48088134-A,JP
31540,JP48088134-A,JP
31541,JP48066632-A,JP
31542,JP48066632-A,JP
31543,ZA7205611-A,ZA
31544,ZA7205611-A,GB
31545,ZA7205611-A,CA
31546,SU383708-A,SU
31547,JP48032942-A,JP
31548,JP48032942-A,JP
31549,JP48032978-A,JP
31550,JP48032978-A,JP
31551,JP48025087-A,JP
31552,JP48021787-A,JP
31553,JP48018391-A,JP
31554,US3723127-A,US
31555,US3723127-A,JP
31556,JP72022686-B,JP
31557,US3673168-A,US
31558,NL6717024-A,NL
31559,NL6717024-A,FR
31560,NL6717024-A,IT
31561,NL6717024-A,CA
31562,NL6717024-A,GB
31563,NL6717024-A,JP
31564,NL6717024-A,DE
31565,CA856870-A,CA
31566,CA856870-A,GB
31567,CA856870-A,FR
31568,CA856870-A,JP
31569,CA856870-A,DE
31570,CA856870-A,DE
31571,JP71029010-B,JP
31572,JP71010297-B,JP
31573,JP71000805-B,JP
31574,JP71002832-B,JP
31575,JP71007209-B,JP
31576,JP71003182-B,JP
31577,FR2038705-A,FR
31578,DD79835-A,DD
31579,JP71002915-B,JP
31580,JP71021320-B,JP
31581,US3573239-A,US
31582,US3560467-A,US
31583,US3584019-A,US
31584,CA860407-A,CA
31585,GB1234996-A,GB
31586,SU271009-A,SU
31587,DE1953814-A,DE
31588,DE1953051-A,DE
31589,DE1953051-A,DE
31590,JP71003071-B,JP
31591,US3576739-A,US
31592,CH499495-A,CH
31593,CH499495-A,US
31594,US3567489-A,US
31595,BE754029-A,BE
31596,BE754029-A,DE
31597,BE754029-A,FR
31598,JP71024682-B,JP
31599,US3583911-A,US
31600,JP71021733-B,JP
31601,JP71003388-B,JP
31602,JP71002352-B,JP
31603,US3582511-A,US
31604,JP71037673-B,JP
31605,JP71014464-B,JP
31606,US3555045-A,US
31607,JP71021447-B,JP
31608,SU266976-A,SU
31609,CA880943-A,CA
31610,GB1230567-A,GB
31611,NL7010515-A,NL
31612,NL7010515-A,ZA
31613,NL7010515-A,FR
31614,NL7010515-A,GB
31615,GB1227719-A,GB
31616,US3562804-A,US
31617,DE1956509-A,DE
31618,US3578641-A,US
31619,DE1950393-A,DE
31620,DE1950393-A,DE
31621,US3573944-A,US
31622,BE758563-A,BE
31623,BE758563-A,NL
31624,BE758563-A,DE
31625,BE758563-A,FR
31626,BE758563-A,JP
31627,BE758563-A,US
31628,BE758563-A,GB
31629,SU276413-A,SU
31630,GB1236373-A,GB
31631,DE2064747-A,DE
31632,DE2064747-A,FR
31633,DE2064747-A,CA
31634,DE2064747-A,GB
31635,US3553158-A,US
31636,DE2105508-A,DE
31637,DE2105508-A,US
31638,DE2105508-A,GB
31639,JP71031747-B,JP
31640,CA872195-A,CA
31641,JP71031974-B,JP
31642,JP71027879-B,JP
31643,BE765170-A,BE
31644,BE765170-A,DE
31645,BE765170-A,JP
31646,BE765170-A,FR
31647,BE765170-A,US
31648,BE765170-A,GB
31649,JP71037664-B,JP
31650,US3589955-A,US
31651,US3597221-A,US
31652,BE744301-A,BE
31653,BE744301-A,NL
31654,BE744301-A,DE
31655,BE744301-A,ZA
31656,BE744301-A,FR
31657,BE744301-A,CH
31658,BE744301-A,GB
31659,BE744301-A,US
31660,BE744301-A,CA
31661,BE744301-A,JP
31662,US3517046-A,US
31663,US3517046-A,DE
31664,US3517046-A,DE
31665,JP70038424-B,JP
31666,JP70021115-B,JP
31667,JP70028582-B,JP
31668,CA847967-A,CA
31669,JP70025583-B,JP
31670,US3537683-A,US
31671,DE1906036-B,DE
31672,SU254751-A,SU
31673,JP70033425-B,JP
31674,US3529010-A,US
31675,JP70028580-B,JP
31676,JP70005065-B,JP
31677,GB1192002-A,GB
31678,DE1930057-A,DE
31679,DE1930057-A,FR
31680,DE1930057-A,GB
31681,US3520850-A,US
31682,US3541200-A,US
31683,US3541200-A,CA
31684,US3538031-A,US
31685,JP70023541-B,JP
31686,DE2030071-A,DE
31687,DE2030071-A,BE
31688,DE2030071-A,NL
31689,DE2030071-A,FR
31690,DE2030071-A,ZA
31691,BE740997-A,BE
31692,BE740997-A,DE
31693,BE740997-A,NL
31694,BE740997-A,FR
31695,BE740997-A,US
31696,BE740997-A,GB
31697,BE740997-A,CA
31698,BE740997-A,JP
31699,BE749483-A,BE
31700,BE749483-A,DE
31701,BE749483-A,FR
31702,BE749483-A,US
31703,BE749483-A,CA
31704,BE749483-A,GB
31705,DE1809757-A,DE
31706,JP70028581-B,JP
31707,US3515706-A,US
31708,US3536684-A,US
31709,JP70034152-B,JP
31710,US3551523-A,US
31711,CA850740-A,CA
31712,DE1815891-A,DE
31713,US3531435-A,US
31714,DE2023154-A,DE
31715,DE2023154-A,DE
31716,CA856899-A,CA
31717,US3535308-A,US
31718,FR1588737-A,FR
31719,FR1588737-A,JP
31720,DE1946235-B,DE
31721,DE1946235-B,BE
31722,DE1946235-B,FR
31723,DE1946235-B,GB
31724,DE1946235-B,CA
31725,DE1946235-B,US
31726,DE1946235-B,JP
31727,BE750804-A,BE
31728,BE750804-A,DE
31729,BE750804-A,FR
31730,BE750804-A,CA
31731,BE750804-A,GB
31732,BE746195-A,BE
31733,BE746195-A,NL
31734,BE746195-A,DE
31735,BE746195-A,FR
31736,BE746195-A,US
31737,BE746195-A,CA
31738,BE746195-A,CA
31739,BE746195-A,GB
31740,BE746195-A,JP
31741,CA857953-A,CA
31742,BE744310-A,BE
31743,BE744310-A,GB
31744,BE744310-A,US
31745,BE752093-A,BE
31746,BE752093-A,NL
31747,BE752093-A,DE
31748,BE752093-A,FR
31749,BE752093-A,US
31750,BE752093-A,GB
31751,BE752093-A,CA
31752,BE752093-A,JP
31753,CA849598-A,CA
31754,US3489681-A,US
31755,JP70030568-B,JP
31756,CA832067-A,CA
31757,DE1936826-U,DE
31758,DE1936826-U,NL
31759,DE1936826-U,DE
31760,DE1936826-U,FR
31761,DE1936826-U,GB
31762,DE1936826-U,JP
31763,DE1936826-U,DE
31764,DE1936826-U,CA
31765,DE1936826-U,NL
31766,CA842314-A,CA
31767,CA842314-A,DE
31768,CA842314-A,FR
31769,CA842314-A,GB
31770,CA842314-A,JP
31771,GB1211193-B,GB
31772,GB1211193-B,GB
31773,US3492258-A,US
31774,US3547896-A,US
31775,DE2015251-A,DE
31776,DE2015251-A,FR
31777,DE2015251-A,US
31778,DE2015251-A,CA
31779,DE2015251-A,JP
31780,DE2015251-A,GB
31781,NL6916633-A,NL
31782,NL6916633-A,GB
31783,GB1187122-A,GB
31784,BE748775-A,BE
31785,BE748775-A,NL
31786,BE748775-A,DE
31787,BE748775-A,FR
31788,BE748775-A,JP
31789,BE748775-A,US
31790,BE748775-A,GB
31791,BE748775-A,DE
31792,JP70030354-B,JP
31793,BE750617-A,BE
31794,BE750617-A,DE
31795,BE750617-A,FR
31796,BE750617-A,DE
31797,BE750617-A,CH
31798,JP70030355-B,JP
31799,US3488339-A,US
31800,JP70025113-B,JP
31801,US3489601-A,US
31802,CA789532-A,CA
31803,DE1813226-A,DE
31804,DE1813226-A,FR
31805,JP68022342-B,JP
31806,DE1270546-B,DE
31807,GB960206-A,GB
31808,GB960206-A,JP
31809,GB960206-A,DE
31810,JP66017234-B,JP
31811,AU6452528-A,AU
31812,AU6452528-A,GB
31813,AU6452528-A,JP
31814,GB1060586-A,GB
31815,JP66009134-B,JP
31816,US3383348-A,US
31817,US3294869-A,US
31818,SU182162-A,SU
31819,US3287155-A,US
31820,DE1271286-B,DE
31821,DE1254638-B,DE
31822,US3478003-A,US
31823,US3319377-A,US
31824,DE1255100-B,DE
31825,BE661113-A,BE
31826,BE661113-A,AU
31827,BE661113-A,CA
31828,BE661113-A,CH
31829,BE661113-A,GB
31830,BE661113-A,IT
31831,BE661113-A,JP
31832,BE661113-A,US
31833,BE661113-A,DE
31834,BE661113-A,NL
31835,FR1427100-A,FR
31836,FR1427100-A,CA
31837,FR1427100-A,FR
31838,FR1427100-A,GB
31839,FR1427100-A,JP
31840,FR1427100-A,US
31841,FR1427100-A,DE
31842,DE1116676-A,DE
31843,DE1116676-A,CA
31844,DE1116676-A,JP
31845,DE1116676-A,JP
31846,DE1116676-A,JP
31847,DE1116676-A,JP
31848,DE1116676-A,NL
31849,DE1116676-A,NL
31850,GB997135-A,GB
31851,GB997135-A,CA
31852,GB997135-A,DE
31853,GB997135-A,DE
31854,GB997135-A,DE
31855,CN107153777-A,CN
31856,WO2017149097-A1,WO
31857,WO2017149097-A1,EP
31858,US2017253871-A1,US
31859,US2017253871-A1,KR
31860,US2017253871-A1,KR
31861,KR2017100732-A,KR
31862,TW201730203-A,TW
31863,CN107095941-A,CN
31864,KR2017096922-A,KR
31865,JP2017145246-A,JP
31866,WO2017139044-A1,WO
31867,WO2017139044-A1,US
31868,WO2017139659-A1,WO
31869,WO2017139659-A1,US
31870,US2017232183-A1,US
31871,WO2017137493-A1,WO
31872,WO2017137493-A1,EP
31873,WO2017137493-A1,US
31874,WO2017139671-A1,WO
31875,WO2017139671-A1,CN
31876,WO2017139671-A1,EP
31877,WO2017139671-A1,US
31878,WO2017139671-A1,EP
31879,US9732178-B1,US
31880,WO2017131493-A1,WO
31881,WO2017131493-A1,KR
31882,WO2017131493-A1,KR
31883,US9718841-B2,US
31884,US2017213989-A1,US
31885,US2017213989-A1,CN
31886,US2017213989-A1,JP
31887,US2017213008-A1,US
31888,US2017213008-A1,WO
31889,US2017213008-A1,CA
31890,US2017213008-A1,AU
31891,US2017213008-A1,CN
31892,US2017213008-A1,EP
31893,US2017213008-A1,JP
31894,US2017213008-A1,EP
31895,US2017213008-A1,HK
31896,US2017213008-A1,HK
31897,CN106979940-A,CN
31898,CN106979940-A,CN
31899,CN106967428-A,CN
31900,KR2017084714-A,KR
31901,KR2017084714-A,KR
31902,CN106946933-A,CN
31903,US2017196851-A1,US
31904,US2017196851-A1,WO
31905,US2017196851-A1,US
31906,CN106928326-A,CN
31907,CN106928326-A,CN
31908,WO2017115655-A1,WO
31909,WO2017115655-A1,TW
31910,WO2017115655-A1,JP
31911,WO2017115652-A1,WO
31912,WO2017115652-A1,TW
31913,WO2017115652-A1,JP
31914,US2017195126-A1,US
31915,US2017195126-A1,US
31916,KR2017074418-A,KR
31917,US2017184592-A1,US
31918,WO2017106638-A1,WO
31919,WO2017106638-A1,US
31920,WO2017106638-A1,US
31921,WO2017106638-A1,TW
31922,WO2017106638-A1,CA
31923,WO2017106638-A1,AU
31924,WO2017106638-A1,IN
31925,WO2017106638-A1,US
31926,WO2017106638-A1,SG
31927,WO2017106638-A1,KR
31928,WO2017106638-A1,CN
31929,WO2017106638-A1,EP
31930,WO2017106638-A1,US
31931,WO2017106638-A1,JP
31932,WO2017106638-A1,BR
31933,WO2017106638-A1,US
31934,WO2017106638-A1,US
31935,WO2017106638-A1,PH
31936,WO2017106638-A1,MX
31937,WO2017106638-A1,ID
31938,WO2017106638-A1,HK
31939,CN106868220-A,CN
31940,US2017166978-A1,US
31941,WO2017098322-A1,WO
31942,WO2017098322-A1,AU
31943,WO2017098322-A1,CA
31944,WO2017098322-A1,KR
31945,WO2017098322-A1,EP
31946,WO2017098322-A1,US
31947,WO2017098322-A1,CN
31948,WO2017098322-A1,JP
31949,CN206238119-U,CN
31950,KR2017063263-A,KR
31951,WO2017092689-A1,WO
31952,US2017157219-A1,US
31953,US2017157219-A1,WO
31954,WO2017095128-A1,WO
31955,WO2017095128-A1,KR
31956,WO2017095128-A1,KR
31957,WO2017095128-A1,CN
31958,WO2017095128-A1,EP
31959,WO2017095128-A1,US
31960,WO2017095128-A1,IN
31961,WO2017095128-A1,EP
31962,WO2017095128-A1,JP
31963,WO2017093397-A1,WO
31964,WO2017093397-A1,AU
31965,WO2017093397-A1,CA
31966,WO2017093397-A1,CN
31967,WO2017093397-A1,EP
31968,WO2017093397-A1,US
31969,WO2017093397-A1,JP
31970,WO2017093397-A1,MX
31971,WO2017093397-A1,BR
31972,RU2621065-C1,RU
31973,CN106778079-A,CN
31974,CN106778079-A,CN
31975,US2017143749-A1,US
31976,US2017143749-A1,US
31977,US2017147597-A1,US
31978,US2017147597-A1,US
31979,US2017136270-A1,US
31980,US2017136270-A1,KR
31981,US2017136270-A1,KR
31982,US2017137404-A1,US
31983,US2017137404-A1,WO
31984,US2017137404-A1,US
31985,US2017137404-A1,EP
31986,US2017137404-A1,JP
31987,US2017137404-A1,EP
31988,WO2017078049-A1,WO
31989,WO2017078049-A1,JP
31990,WO2017078049-A1,EP
31991,WO2017078049-A1,US
31992,WO2017078049-A1,EP
31993,WO2017078421-A1,WO
31994,WO2017078421-A1,KR
31995,WO2017078421-A1,KR
31996,KR2017050234-A,KR
31997,KR2017050234-A,KR
31998,CN106632253-A,CN
31999,CN106632253-A,CN
32000,CN106632254-A,CN
32001,CN106632254-A,CN
32002,WO2017075537-A1,WO
32003,WO2017075537-A1,CA
32004,WO2017075537-A1,US
32005,WO2017075537-A1,AU
32006,WO2017075537-A1,KR
32007,WO2017075537-A1,EP
32008,WO2017075537-A1,CN
32009,WO2017075537-A1,BR
32010,WO2017075537-A1,MX
32011,WO2017075537-A1,JP
32012,WO2017075537-A1,US
32013,WO2017066484-A2,WO
32014,WO2017066484-A2,WO
32015,WO2017066484-A2,US
32016,WO2017066484-A2,CA
32017,WO2017065405-A1,WO
32018,WO2017065405-A1,KR
32019,WO2017065405-A1,KR
32020,WO2017065405-A1,EP
32021,WO2017065405-A1,US
32022,WO2017065405-A1,EP
32023,WO2017065405-A1,KR
32024,WO2017065405-A1,EP
32025,WO2017064030-A1,WO
32026,WO2017064030-A1,AU
32027,WO2017064030-A1,CA
32028,WO2017064030-A1,KR
32029,WO2017064030-A1,CN
32030,WO2017064030-A1,EP
32031,WO2017064030-A1,IN
32032,WO2017064030-A1,JP
32033,WO2017064030-A1,US
32034,WO2017064030-A1,BR
32035,WO2017064030-A1,ZA
32036,WO2017062797-A1,WO
32037,WO2017062797-A1,WO
32038,WO2017062797-A1,US
32039,US2017104527-A1,US
32040,US2017104527-A1,US
32041,DE102016118810-A1,DE
32042,DE102016118810-A1,US
32043,DE102016118810-A1,WO
32044,DE102016118810-A1,GB
32045,DE102016118810-A1,IN
32046,DE102016118810-A1,CN
32047,DE102016118810-A1,KR
32048,DE102016118810-A1,EP
32049,DE102016118810-A1,BR
32050,DE102016118810-A1,JP
32051,DE102016118810-A1,GB
32052,DE102016118810-A1,EP
32053,DE102016118810-A1,RU
32054,DE102016118808-A1,DE
32055,DE102016118808-A1,US
32056,DE102016118808-A1,WO
32057,DE102016118808-A1,GB
32058,DE102016118808-A1,CN
32059,DE102016118808-A1,IN
32060,DE102016118808-A1,EP
32061,DE102016118808-A1,KR
32062,DE102016118808-A1,BR
32063,DE102016118808-A1,JP
32064,DE102016118808-A1,US
32065,DE102016118808-A1,US
32066,DE102016118808-A1,RU
32067,WO2017058909-A1,WO
32068,WO2017058909-A1,US
32069,WO2017058085-A1,WO
32070,WO2017058085-A1,AU
32071,WO2017058085-A1,CA
32072,WO2017058085-A1,EP
32073,WO2017058085-A1,CN
32074,WO2017058085-A1,IN
32075,WO2017058085-A1,US
32076,WO2017058085-A1,JP
32077,WO2017058085-A1,EP
32078,WO2017059180-A1,WO
32079,WO2017059280-A1,WO
32080,WO2017059280-A1,US
32081,WO2017059280-A1,US
32082,WO2017051938-A1,WO
32083,WO2017051938-A1,CN
32084,US2017080055-A1,US
32085,WO2017046801-A1,WO
32086,WO2017046801-A1,US
32087,US2017081452-A1,US
32088,US2017081452-A1,US
32089,US2017080079-A1,US
32090,US2017080079-A1,US
32091,CN106519030-A,CN
32092,CN106511133-A,CN
32093,US2017071964-A1,US
32094,US2017071964-A1,WO
32095,US2017071964-A1,TW
32096,US2017071964-A1,AU
32097,US2017071964-A1,CA
32098,US2017071964-A1,KR
32099,US2017071964-A1,SG
32100,US2017071964-A1,EP
32101,US2017071964-A1,CN
32102,US2017071964-A1,JP
32103,US2017071964-A1,BR
32104,US2017071964-A1,MX
32105,US2017071964-A1,US
32106,US2017071964-A1,HK
32107,US2017071964-A1,HK
32108,US2017071964-A1,HK
32109,WO2017044507-A2,WO
32110,WO2017044507-A2,WO
32111,WO2017044507-A2,US
32112,WO2017043639-A1,WO
32113,WO2017043639-A1,JP
32114,WO2017043639-A1,EP
32115,WO2017043639-A1,US
32116,WO2017043639-A1,EP
32117,WO2017044893-A1,WO
32118,WO2017044893-A1,US
32119,WO2017041033-A1,WO
32120,WO2017041033-A1,US
32121,WO2017039331-A1,WO
32122,WO2017039331-A1,US
32123,WO2017039331-A1,US
32124,WO2017039331-A1,AU
32125,WO2017039331-A1,KR
32126,WO2017039331-A1,SG
32127,WO2017039331-A1,CA
32128,WO2017039331-A1,IN
32129,WO2017039331-A1,EP
32130,WO2017039331-A1,CN
32131,WO2017039331-A1,PH
32132,WO2017039331-A1,JP
32133,WO2017039331-A1,US
32134,WO2017039331-A1,BR
32135,WO2017039331-A1,EP
32136,WO2017039331-A1,VN
32137,WO2017039331-A1,US
32138,WO2017039331-A1,MX
32139,WO2017039331-A1,ID
32140,WO2017039331-A1,RU
32141,WO2017039331-A1,HK
32142,WO2017040316-A1,WO
32143,WO2017040316-A1,US
32144,WO2017038662-A1,WO
32145,WO2017038662-A1,JP
32146,WO2017038662-A1,CN
32147,WO2017038662-A1,EP
32148,WO2017038662-A1,EP
32149,WO2017038662-A1,US
32150,CN106484865-A,CN
32151,CN106478814-A,CN
32152,WO2017035060-A1,WO
32153,WO2017035060-A1,US
32154,WO2017035060-A1,US
32155,WO2017035060-A1,TW
32156,WO2017035060-A1,AR
32157,WO2017035060-A1,AU
32158,WO2017035060-A1,CA
32159,WO2017035060-A1,KR
32160,WO2017035060-A1,CN
32161,WO2017035060-A1,SG
32162,WO2017035060-A1,EP
32163,WO2017035060-A1,IN
32164,WO2017035060-A1,PH
32165,WO2017035060-A1,JP
32166,WO2017035060-A1,MX
32167,WO2017035060-A1,BR
32168,WO2017035060-A1,EP
32169,WO2017035070-A1,WO
32170,WO2017035070-A1,CN
32171,WO2017035070-A1,EP
32172,WO2017035070-A1,US
32173,WO2017035070-A1,EP
32174,WO2017035392-A1,WO
32175,WO2017035392-A1,AU
32176,WO2017035392-A1,CA
32177,WO2017035392-A1,KR
32178,WO2017035392-A1,IN
32179,WO2017035392-A1,EP
32180,WO2017035392-A1,CN
32181,WO2017035392-A1,US
32182,WO2017035392-A1,EP
32183,WO2017035392-A1,JP
32184,WO2017035392-A1,BR
32185,WO2017035392-A1,IL
32186,WO2017035392-A1,MX
32187,WO2017035392-A1,AU
32188,WO2017035392-A1,AU
32189,WO2017035392-A1,JP
32190,WO2017035392-A1,KR
32191,WO2017035392-A1,KR
32192,WO2017035392-A1,JP
32193,WO2017035392-A1,RU
32194,WO2017035392-A1,HK
32195,JP2017042091-A,JP
32196,JP2017042091-A,CA
32197,JP2017042091-A,US
32198,JP2017042091-A,CA
32199,JP2017042091-A,US
32200,JP2017042091-A,US
32201,JP2017042091-A,US
32202,JP2017042091-A,US
32203,JP2017042091-A,US
32204,WO2017031353-A1,WO
32205,WO2017031353-A1,CA
32206,WO2017031353-A1,EP
32207,WO2017031353-A1,US
32208,WO2017031353-A1,JP
32209,CN205987203-U,CN
32210,CN106435014-A,CN
32211,CN106434622-A,CN
32212,CN106417513-A,CN
32213,CN106417513-A,CN
32214,MY160079-A,MY
32215,CN106397549-A,CN
32216,CN106397549-A,CN
32217,WO2017024138-A1,WO
32218,WO2017024138-A1,AU
32219,WO2017024138-A1,CA
32220,WO2017024138-A1,EP
32221,WO2017024138-A1,CN
32222,WO2017024138-A1,JP
32223,WO2017024138-A1,EP
32224,US2017039316-A1,US
32225,CN106381313-A,CN
32226,CN106380517-A,CN
32227,CN106380517-A,CN
32228,KR2017013799-A,KR
32229,KR1702784-B1,KR
32230,WO2017016602-A1,WO
32231,WO2017017045-A1,WO
32232,WO2017017045-A1,CA
32233,WO2017017045-A1,AU
32234,WO2017017045-A1,EP
32235,WO2017017045-A1,CN
32236,WO2017017045-A1,US
32237,WO2017016600-A1,WO
32238,WO2017017044-A1,WO
32239,WO2017017044-A1,CA
32240,WO2017017044-A1,AU
32241,WO2017017044-A1,EP
32242,WO2017017044-A1,CN
32243,WO2017017044-A1,US
32244,JP2017023090-A,JP
32245,WO2017012659-A1,WO
32246,WO2017013204-A1,WO
32247,WO2017013204-A1,AU
32248,WO2017013204-A1,CA
32249,WO2017013204-A1,EP
32250,WO2017013204-A1,CN
32251,WO2017013204-A1,US
32252,WO2017013220-A2,WO
32253,WO2017013220-A2,WO
32254,WO2017013220-A2,CA
32255,WO2017013220-A2,AU
32256,WO2017013220-A2,EP
32257,WO2017013220-A2,CN
32258,WO2017013220-A2,US
32259,WO2017013219-A2,WO
32260,WO2017013219-A2,WO
32261,WO2017013219-A2,CA
32262,WO2017013219-A2,AU
32263,WO2017013219-A2,EP
32264,WO2017013219-A2,CN
32265,WO2017013219-A2,US
32266,WO2017012658-A1,WO
32267,WO2017013223-A1,WO
32268,WO2017013223-A1,CA
32269,WO2017013223-A1,AU
32270,WO2017013223-A1,EP
32271,WO2017013223-A1,CN
32272,WO2017013223-A1,US
32273,WO2017012661-A1,WO
32274,WO2017012653-A1,WO
32275,WO2017013217-A2,WO
32276,WO2017013217-A2,WO
32277,WO2017013217-A2,AU
32278,WO2017013217-A2,CA
32279,WO2017013217-A2,EP
32280,WO2017013217-A2,CN
32281,WO2017013217-A2,US
32282,WO2017013265-A1,WO
32283,WO2017013265-A1,CA
32284,WO2017013265-A1,AU
32285,WO2017013265-A1,SG
32286,WO2017013265-A1,IN
32287,WO2017013265-A1,EP
32288,WO2017013265-A1,KR
32289,WO2017013265-A1,CN
32290,WO2017013265-A1,JP
32291,WO2017013265-A1,HK
32292,WO2017013265-A1,MX
32293,WO2017013265-A1,BR
32294,WO2017013265-A1,AU
32295,WO2017013265-A1,US
32296,WO2017013265-A1,ID
32297,WO2017013265-A1,RU
32298,WO2017013265-A1,ZA
32299,CN106344932-A,CN
32300,WO2017008835-A1,WO
32301,WO2017009374-A1,WO
32302,WO2017009374-A1,AU
32303,WO2017009374-A1,CA
32304,WO2017009374-A1,EP
32305,WO2017009374-A1,US
32306,WO2017009374-A1,CN
32307,WO2017010835-A1,WO
32308,WO2017010835-A1,KR
32309,JP2017006008-A,JP
32310,KR2017002096-A,KR
32311,DE102016112065-A1,DE
32312,DE102016112065-A1,US
32313,DE102016112065-A1,WO
32314,DE102016112065-A1,GB
32315,DE102016112065-A1,GB
32316,DE102016112065-A1,IN
32317,DE102016112065-A1,KR
32318,DE102016112065-A1,CN
32319,DE102016112065-A1,EP
32320,DE102016112065-A1,JP
32321,DE102016112065-A1,BR
32322,DE102016112065-A1,GB
32323,DE102016112065-A1,GB
32324,DE102016112065-A1,RU
32325,WO2017004504-A1,WO
32326,WO2017004504-A1,CN
32327,WO2017004504-A1,EP
32328,WO2017004504-A1,US
32329,JP2017002012-A,JP
32330,CN106295250-A,CN
32331,CN106295250-A,CN
32332,CN106262657-A,CN
32333,US2016375164-A1,US
32334,US2016375164-A1,US
32335,US2016377629-A1,US
32336,WO2016207164-A2,WO
32337,WO2016207164-A2,US
32338,WO2016207164-A2,WO
32339,WO2016207164-A2,TW
32340,WO2016207164-A2,AR
32341,WO2016207164-A2,AU
32342,WO2016207164-A2,CA
32343,WO2016207164-A2,IN
32344,WO2016207164-A2,KR
32345,WO2016207164-A2,SG
32346,WO2016207164-A2,CN
32347,WO2016207164-A2,VN
32348,WO2016207164-A2,EP
32349,WO2016207164-A2,PH
32350,WO2016207164-A2,JP
32351,WO2016207164-A2,BR
32352,WO2016207164-A2,ID
32353,WO2016207164-A2,MX
32354,WO2016207164-A2,US
32355,WO2016207164-A2,US
32356,WO2016207164-A2,ZA
32357,WO2016207164-A2,HK
32358,WO2016207164-A2,US
32359,WO2016207164-A2,US
32360,WO2016207164-A2,US
32361,WO2016203246-A1,WO
32362,DE102016111000-A1,DE
32363,DE102016111000-A1,US
32364,DE102016111000-A1,WO
32365,DE102016111000-A1,GB
32366,DE102016111000-A1,US
32367,DE102016111000-A1,IN
32368,DE102016111000-A1,CN
32369,DE102016111000-A1,KR
32370,DE102016111000-A1,EP
32371,DE102016111000-A1,US
32372,DE102016111000-A1,JP
32373,DE102016111000-A1,BR
32374,DE102016111000-A1,US
32375,DE102016111000-A1,GB
32376,DE102016111000-A1,EP
32377,DE102016111000-A1,RU
32378,DE102016111000-A1,US
32379,CN106254167-A,CN
32380,CN106245134-A,CN
32381,CN106245134-A,CN
32382,WO2016200220-A1,WO
32383,WO2016200220-A1,AU
32384,WO2016200220-A1,IN
32385,WO2016200220-A1,EP
32386,WO2016200220-A1,CN
32387,WO2016200220-A1,CA
32388,WO2016200220-A1,JP
32389,WO2016200220-A1,EP
32390,WO2016200220-A1,AU
32391,WO2016200220-A1,RU
32392,WO2016200220-A1,US
32393,WO2016200220-A1,RU
32394,WO2016199964-A1,WO
32395,WO2016199964-A1,KR
32396,WO2016199964-A1,KR
32397,WO2016199964-A1,AU
32398,WO2016199936-A1,WO
32399,WO2016199936-A1,CN
32400,WO2016199936-A1,JP
32401,WO2016199936-A1,EP
32402,WO2016199936-A1,US
32403,WO2016199936-A1,EP
32404,CN106228035-A,CN
32405,CN106228035-A,CN
32406,WO2016195382-A1,WO
32407,WO2016195382-A1,KR
32408,WO2016195382-A1,KR
32409,US2016354752-A1,US
32410,US2016354752-A1,US
32411,WO2016197003-A1,WO
32412,WO2016197003-A1,US
32413,WO2016197003-A1,CN
32414,WO2016197003-A1,HK
32415,WO2016190654-A1,WO
32416,WO2016190654-A1,KR
32417,WO2016190654-A1,KR
32418,WO2016190654-A1,US
32419,WO2016187234-A1,WO
32420,WO2016187234-A1,US
32421,WO2016187234-A1,CA
32422,WO2016187234-A1,AU
32423,WO2016187234-A1,IN
32424,WO2016187234-A1,EP
32425,WO2016187234-A1,CN
32426,WO2016187234-A1,JP
32427,WO2016187234-A1,EP
32428,WO2016187234-A1,BR
32429,WO2016187234-A1,HK
32430,WO2016187578-A1,WO
32431,WO2016187578-A1,US
32432,JP2016194990-A,JP
32433,WO2016183348-A1,WO
32434,US2016333351-A1,US
32435,US2016333008-A1,US
32436,US2016333008-A1,WO
32437,US2016333008-A1,US
32438,CN106119213-A,CN
32439,WO2016179509-A1,WO
32440,WO2016179509-A1,WO
32441,WO2016179509-A1,TW
32442,WO2016179509-A1,US
32443,WO2016179509-A1,CN
32444,WO2016179509-A1,HK
32445,WO2016176558-A1,WO
32446,WO2016176558-A1,US
32447,WO2016172643-A2,WO
32448,WO2016172643-A2,WO
32449,WO2016172643-A2,AU
32450,WO2016172643-A2,CA
32451,WO2016172643-A2,CN
32452,WO2016172643-A2,IN
32453,WO2016172643-A2,EP
32454,WO2016172643-A2,US
32455,WO2016172643-A2,EP
32456,WO2016172722-A1,WO
32457,WO2016172722-A1,AU
32458,WO2016172722-A1,CA
32459,WO2016172722-A1,EP
32460,WO2016172722-A1,JP
32461,WO2016172722-A1,US
32462,WO2016172722-A1,BR
32463,WO2016172722-A1,CN
32464,WO2016172722-A1,MX
